Full_Date,Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
06-03-20,6,3,20,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600
09-03-20,9,3,20,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200
10-03-20,10,3,20,1870.880005,1894.27002,1818.170044,1891.819946,1891.819946,7133300
11-03-20,11,3,20,1857.849976,1871.319946,1801.5,1820.859985,1820.859985,5624800
12-03-20,12,3,20,1721.97998,1765,1675,1676.609985,1676.609985,11346200
13-03-20,13,3,20,1755,1786.310059,1680.619995,1785,1785,8809700
16-03-20,16,3,20,1641.51001,1759.449951,1626.030029,1689.150024,1689.150024,8917300
17-03-20,17,3,20,1775.469971,1857.780029,1689.23999,1807.839966,1807.839966,10917100
18-03-20,18,3,20,1750,1841.660034,1745,1830,1830,9645200
19-03-20,19,3,20,1860,1945,1832.650024,1880.930054,1880.930054,10399900
20-03-20,20,3,20,1926.310059,1957,1820.72998,1846.089966,1846.089966,9817900
23-03-20,23,3,20,1827.75,1919.400024,1812,1902.829956,1902.829956,7808500
24-03-20,24,3,20,1951.5,1955,1900.339966,1940.099976,1940.099976,7147100
25-03-20,25,3,20,1920.689941,1950.26001,1885.780029,1885.839966,1885.839966,6479100
26-03-20,26,3,20,1902,1956.48999,1889.290039,1955.48999,1955.48999,6221300
27-03-20,27,3,20,1930.859985,1939.790039,1899.920044,1900.099976,1900.099976,5387900
30-03-20,30,3,20,1922.829956,1973.630005,1912.339966,1963.949951,1963.949951,6126100
31-03-20,31,3,20,1964.349976,1993.02002,1944.01001,1949.719971,1949.719971,5123600
01-04-20,1,4,20,1932.969971,1944.959961,1893,1907.699951,1907.699951,4121900
02-04-20,2,4,20,1901.640015,1927.530029,1890,1918.829956,1918.829956,4336000
03-04-20,3,4,20,1911.150024,1926.329956,1889.150024,1906.589966,1906.589966,3609900
06-04-20,6,4,20,1936,1998.52002,1930.02002,1997.589966,1997.589966,5773200
07-04-20,7,4,20,2017.109985,2035.719971,1997.619995,2011.599976,2011.599976,5114000
08-04-20,8,4,20,2021,2044,2011.150024,2043,2043,3977300
09-04-20,9,4,20,2044.300049,2053,2017.660034,2042.76001,2042.76001,4655600
13-04-20,13,4,20,2040,2180,2038,2168.870117,2168.870117,6716700
14-04-20,14,4,20,2200.469971,2292,2186.209961,2283.320068,2283.320068,8087200
15-04-20,15,4,20,2257.679932,2333.370117,2245,2307.679932,2307.679932,6866600
16-04-20,16,4,20,2346,2461,2335,2408.189941,2408.189941,12038200
17-04-20,17,4,20,2372.330078,2400,2316.02002,2375,2375,7930000
20-04-20,20,4,20,2389.949951,2444.97998,2386.050049,2393.610107,2393.610107,5770700
21-04-20,21,4,20,2416.610107,2428.310059,2279.659912,2328.120117,2328.120117,7476700
22-04-20,22,4,20,2369,2394,2351,2363.48999,2363.48999,4218300
23-04-20,23,4,20,2399.97998,2424.219971,2382.080078,2399.449951,2399.449951,5066600
24-04-20,24,4,20,2417,2420.429932,2382,2410.219971,2410.219971,3831800
27-04-20,27,4,20,2443.199951,2444.879883,2363,2376,2376,5645600
28-04-20,28,4,20,2372.100098,2373.5,2306,2314.080078,2314.080078,5269400
29-04-20,29,4,20,2330.01001,2391.889893,2310,2372.709961,2372.709961,4591600
30-04-20,30,4,20,2419.840088,2475,2396.01001,2474,2474,9534600
01-05-20,1,5,20,2336.800049,2362.439941,2258.189941,2286.040039,2286.040039,9772600
04-05-20,4,5,20,2256.379883,2326.97998,2256.379883,2315.98999,2315.98999,4865900
05-05-20,5,5,20,2340,2351,2307.129883,2317.800049,2317.800049,3242500
06-05-20,6,5,20,2329.439941,2357.449951,2320,2351.26001,2351.26001,3117800
07-05-20,7,5,20,2374.780029,2376,2343.110107,2367.610107,2367.610107,3396400
08-05-20,8,5,20,2372.139893,2387.23999,2357,2379.610107,2379.610107,3211200
11-05-20,11,5,20,2374.699951,2419.669922,2372.110107,2409,2409,3259200
12-05-20,12,5,20,2411.850098,2419,2355,2356.949951,2356.949951,3074900
13-05-20,13,5,20,2366.800049,2407.699951,2337.800049,2367.919922,2367.919922,4782900
14-05-20,14,5,20,2361.01001,2391.370117,2353.209961,2388.850098,2388.850098,3648100
15-05-20,15,5,20,2368.52002,2411,2356.370117,2409.780029,2409.780029,4235000
18-05-20,18,5,20,2404.350098,2433,2384.01001,2426.26001,2426.26001,4366600
19-05-20,19,5,20,2429.830078,2485,2428.969971,2449.330078,2449.330078,4320500
20-05-20,20,5,20,2477.870117,2500.01001,2467.27002,2497.939941,2497.939941,3998100
21-05-20,21,5,20,2500,2525.449951,2442.540039,2446.73999,2446.73999,5114400
22-05-20,22,5,20,2455.01001,2469.850098,2430.129883,2436.879883,2436.879883,2867100
26-05-20,26,5,20,2458,2462,2414.060059,2421.860107,2421.860107,3568200
27-05-20,27,5,20,2404.98999,2413.580078,2330,2410.389893,2410.389893,5056900
28-05-20,28,5,20,2384.330078,2436.969971,2378.22998,2401.100098,2401.100098,3190200
29-05-20,29,5,20,2415.939941,2442.370117,2398.199951,2442.370117,2442.370117,3529300
01-06-20,1,6,20,2448,2476.929932,2444.169922,2471.040039,2471.040039,2928900
02-06-20,2,6,20,2467,2473.530029,2445.310059,2472.409912,2472.409912,2529900
03-06-20,3,6,20,2468.01001,2488,2461.169922,2478.399902,2478.399902,2671000
04-06-20,4,6,20,2477.429932,2507.540039,2450.01001,2460.600098,2460.600098,2948700
05-06-20,5,6,20,2444.51001,2488.649902,2437.129883,2483,2483,3306400
08-06-20,8,6,20,2500.199951,2530,2487.340088,2524.060059,2524.060059,3970700
09-06-20,9,6,20,2529.439941,2626.429932,2525,2600.860107,2600.860107,5176000
10-06-20,10,6,20,2645,2722.350098,2626.26001,2647.449951,2647.449951,4946000
11-06-20,11,6,20,2603.5,2671.379883,2536.22998,2557.959961,2557.959961,5800100
12-06-20,12,6,20,2601.209961,2621.47998,2503.350098,2545.02002,2545.02002,5429600
15-06-20,15,6,20,2526.600098,2584,2508,2572.679932,2572.679932,3865100
16-06-20,16,6,20,2620,2620,2576,2615.27002,2615.27002,3585600
17-06-20,17,6,20,2647.5,2655,2631.820068,2640.97998,2640.97998,2951100
18-06-20,18,6,20,2647.01001,2659.639893,2636.110107,2653.97998,2653.97998,2487800
19-06-20,19,6,20,2678.080078,2697.429932,2659,2675.01001,2675.01001,5777000
22-06-20,22,6,20,2684.5,2715,2669,2713.820068,2713.820068,3208800
23-06-20,23,6,20,2726.02002,2783.110107,2718.040039,2764.409912,2764.409912,4231700
24-06-20,24,6,20,2780,2796,2721,2734.399902,2734.399902,4526600
25-06-20,25,6,20,2739.550049,2756.22998,2712.139893,2754.580078,2754.580078,2968700
26-06-20,26,6,20,2775.060059,2782.570068,2688,2692.870117,2692.870117,6500800
29-06-20,29,6,20,2690.01001,2696.800049,2630.080078,2680.379883,2680.379883,4223400
30-06-20,30,6,20,2685.070068,2769.629883,2675.030029,2758.820068,2758.820068,3769700
01-07-20,1,7,20,2757.98999,2895,2754,2878.699951,2878.699951,6363400
02-07-20,2,7,20,2912.01001,2955.560059,2871.100098,2890.300049,2890.300049,6593400
06-07-20,6,7,20,2934.969971,3059.879883,2930,3057.040039,3057.040039,6880600
07-07-20,7,7,20,3058.550049,3069.550049,2990,3000.120117,3000.120117,5257500
08-07-20,8,7,20,3022.610107,3083.969971,3012.429932,3081.110107,3081.110107,5037600
09-07-20,9,7,20,3115.98999,3193.879883,3074,3182.629883,3182.629883,6388700
10-07-20,10,7,20,3191.76001,3215,3135.699951,3200,3200,5486000
13-07-20,13,7,20,3251.060059,3344.290039,3068.389893,3104,3104,7720400
14-07-20,14,7,20,3089,3127.379883,2950,3084,3084,7231900
15-07-20,15,7,20,3080.22998,3098.350098,2973.179932,3008.870117,3008.870117,5788900
